Frequency,CustGender,CustAccountBalance,TransactionAmount (INR),CustAge,Recency,Label
1,F,350530.88,2996.0,38.0,1,2
1,F,237.51,2000.0,45.0,1,2
1,F,8192.5,1065.0,30.0,1,2
1,F,149120.1,347.0,38.0,1,2
1,F,20.23,249.0,34.0,1,2
1,F,4125.94,10.0,32.0,1,2
1,F,83197.57,2420.0,42.0,1,2
1,F,51193.01,600.0,42.0,1,2
1,F,187115.35,15300.0,32.0,1,2
1,F,4936.09,1000.0,34.0,1,2
1,F,6560.52,32.0,31.0,1,2
1,F,296.21,250.0,35.0,1,2
1,F,25837.04,1200.0,54.0,1,2
1,F,252113.99,472.0,38.0,1,2
1,F,25417.72,606.9,31.0,1,2
1,F,982.34,953.0,39.0,1,2
1,F,173447.62,50.0,30.0,1,2
1,F,102056.3,361.0,30.0,1,2
1,F,84098.47,6002.1,35.0,1,2
1,F,8155.14,698.0,33.0,1,2
1,F,375063.77,1024.73,42.0,1,2
1,F,69300.56,373.3,30.0,1,2
1,F,4341.39,883.0,31.0,1,2
1,F,206199.12,216.0,36.0,1,2
1,F,19053.66,2748.0,33.0,1,2
1,F,528660.55,24.0,32.0,1,2
1,F,21300.15,312.0,34.0,1,2
1,F,4971.1,251.0,36.0,1,2
1,F,117687.86,52.0,36.0,1,2
1,F,11900.51,2000.0,35.0,1,2
1,F,12856.87,1008.63,32.0,1,2
1,F,33059.28,246.14,34.0,1,2
1,F,69471.64,498.0,31.0,1,2
1,F,460.04,1178.0,33.0,1,2
1,F,89744.49,3083.5,40.0,1,2
1,F,61634.07,286.46,37.0,1,2
1,F,719.7,85.0,31.0,1,2
1,F,168537.34,7300.0,47.0,1,2
1,F,7886.99,30.0,30.0,1,2
1,F,738.24,1890.0,30.0,1,2
1,F,5254.74,180.0,31.0,1,2
1,F,3344.36,120.0,32.0,1,2
1,F,11.78,21.0,33.0,1,2
1,F,247407.57,3102.0,49.0,1,2
1,F,99476.63,14500.0,34.0,1,2
1,F,125871.04,1800.0,45.0,1,2
1,F,33283.19,189.0,30.0,1,2
1,F,89445.92,147.0,29.0,1,2
1,F,1981.59,404.0,32.0,1,2
1,F,25492.11,140.0,30.0,1,2
1,F,957.21,189.45,37.0,1,2
1,F,77932.38,1347.49,38.0,1,2
1,F,8848.78,100.0,31.0,1,2
1,F,54571.16,1983.95,42.0,1,2
1,F,15394.61,407.0,41.0,1,2
1,F,23.14,40.0,36.0,1,2
1,F,97.95,100.0,30.0,1,2
1,F,72262.34,100.0,34.0,1,2
1,F,19765.6,849.0,35.0,1,2
1,F,32951.34,526.0,34.0,1,2
1,F,19786.25,108.0,45.0,1,2
1,F,54678.27,435.0,34.0,1,2
1,F,119952.7,1000.0,37.0,1,2
1,F,15126.37,188.0,26.0,1,2
1,F,6669.98,3599.0,34.0,1,2
1,F,226.15,184.0,32.0,1,2
1,F,11384.3,140.0,32.0,1,2
1,F,115690.34,55.0,44.0,1,2
1,F,68248.9,1350.0,42.0,1,2
1,F,11555.06,640.9,32.0,1,2
1,F,17214.13,2209.81,32.0,1,2
1,F,207824.13,275.0,36.0,1,2
1,F,7760.59,150.0,32.0,1,2
1,F,12970.46,3104.0,40.0,1,2
1,F,7905.24,1960.0,40.0,1,2
1,F,112521.34,750.0,28.0,1,2
1,F,34436.86,20000.0,34.0,1,2
1,F,9815.68,777.0,40.0,1,2
1,F,82658.86,500.0,30.0,1,2
1,F,36286.56,631.0,35.0,1,2
1,F,99950.89,149.0,32.0,1,2
1,F,94276.45,776.0,43.0,1,2
1,F,104546.19,145.0,43.0,1,2
1,F,61169.9,200.0,44.0,1,2
1,F,27382.64,1249.0,30.0,1,2
1,F,5807.89,1020.0,29.0,1,2
1,F,12051.88,30.0,33.0,1,2
1,F,109525.97,3003.0,37.0,1,2
1,F,398.79,1730.0,34.0,1,2
1,F,3660.2,50.0,32.0,1,2
1,F,11468.84,150.0,41.0,1,2
1,F,21335.25,68.0,35.0,1,2
1,F,1500.43,1696.0,33.0,1,2
1,F,104523.14,600.0,40.0,1,2
1,F,67810.5,141.0,38.0,1,2
1,F,96.02,239.0,30.0,1,2
1,F,991.06,101.0,29.0,1,2
1,F,71403.21,3665.0,37.0,1,2
1,F,55248.39,1233.0,41.0,1,2
1,F,1370.89,250.0,35.0,1,2
1,F,92844.7,1290.1,46.0,1,2
1,F,59874.17,297.0,38.0,1,2
1,F,824.48,197.5,47.0,1,2
1,F,56412.91,675.0,34.0,1,2
1,F,12429.18,250.0,29.0,1,2
1,F,6530.16,245.0,30.0,1,2
1,F,5249.14,200.0,37.0,1,2
1,F,730803.91,499.52,29.0,1,2
1,F,1654.4,30.0,28.0,1,2
1,F,805065.05,1299.0,47.0,1,2
1,F,14263.92,495.0,33.0,1,2
1,F,65989.73,1.0,46.0,1,2
1,F,127306.63,8000.0,43.0,1,2
1,F,55928.61,286.0,29.0,1,2
1,F,5570.0,200.0,28.0,1,2
1,F,1022.23,7200.0,35.0,1,2
1,F,10947.74,75.0,33.0,1,2
1,F,670.94,199.0,33.0,1,2
1,F,32250.68,210.0,43.0,1,2
1,F,10125.36,432.0,34.0,1,2
1,F,22709.1,40.0,31.0,1,2
1,F,1611.91,0.52,31.0,1,2
1,F,79529.17,399.0,34.0,1,2
1,F,18207.95,290.0,33.0,1,2
1,F,47921.25,36.92,28.0,1,2
1,F,109847.34,3531.0,39.0,1,2
1,F,36016.49,1176.0,35.0,1,2
1,F,20332.74,1251.0,33.0,1,2
1,F,27088.79,3000.0,46.0,1,2
1,F,26594.19,317.0,34.0,1,2
1,F,69073.56,499.0,35.0,1,2
1,F,7173.11,787.0,27.0,1,2
1,F,125336.73,300.0,40.0,1,2
1,F,106729.01,17100.0,39.0,1,2
1,F,144.01,2842.0,38.0,1,2
1,F,344976.94,5229.0,37.0,1,2
1,F,10463.74,640.0,36.0,1,2
1,F,102054.74,990.0,44.0,1,2
1,F,21160.35,1449.0,45.0,1,2
1,F,42243.68,2094.0,33.0,1,2
1,F,13.3,150.0,28.0,1,2
1,F,29617.65,345.0,34.0,1,2
1,F,16078.97,25.0,30.0,1,2
1,F,530.01,17.0,29.0,1,2
1,F,17996.65,875.5,31.0,1,2
1,F,2159.53,549.0,46.0,1,2
1,F,14786.89,1000.0,38.0,1,2
1,F,87269.9,1375.0,39.0,1,2
1,F,6767.8,218.0,32.0,1,2
1,F,317.38,660.0,45.0,1,2
1,F,10795.53,960.0,28.0,1,2
1,F,225067.43,155.0,34.0,1,2
1,F,19853.15,280.0,31.0,1,2
1,F,3347.68,159.0,33.0,1,2
1,F,769951.62,3290.21,48.0,1,2
1,F,4504.82,50.0,30.0,1,2
1,F,140150.31,4000.0,52.0,1,2
1,F,101100.72,2145.0,31.0,1,2
1,F,23581.13,2875.0,37.0,1,2
1,F,40179.26,820.0,34.0,1,2
1,F,43086.57,1500.0,46.0,1,2
1,F,29701.26,360.0,35.0,1,2
1,F,8430.36,1000.0,34.0,1,2
1,F,12166.67,941.0,38.0,1,2
1,F,33022.88,559.43,43.0,1,2
1,F,20994.37,499.0,26.0,1,2
1,F,34809.39,1643.0,32.0,1,2
1,F,114.69,3599.0,29.0,1,2
1,F,9081.13,1828.07,32.0,1,2
1,F,14365.69,2300.0,36.0,1,2
1,F,230464.03,573.0,29.0,1,2
1,F,380662.34,3414.0,36.0,1,2
1,F,388.24,150.0,45.0,1,2
1,F,362.18,500.0,31.0,1,2
1,F,7.16,150.0,39.0,1,2
1,F,9270.44,1947.5,28.0,1,2
1,F,1968.97,500.0,37.0,1,2
1,F,71403.21,1000.0,37.0,1,2
1,F,78826.37,2555.0,34.0,1,2
1,F,18319.99,352.0,45.0,1,2
1,F,5528.36,40.0,29.0,1,2
1,F,11899.53,193.0,36.0,1,2
1,F,43115.93,459.0,38.0,1,2
1,F,9821.4,525.0,29.0,1,2
1,F,34676.52,1050.0,36.0,1,2
1,F,265.76,612.0,31.0,1,2
1,F,66335.58,1099.0,41.0,1,2
1,F,217430.2,650.0,30.0,1,2
1,F,7805.59,50.0,36.0,1,2
1,F,61847.95,550.0,32.0,1,2
1,F,6688.57,259.0,31.0,1,2
1,F,2408.66,412.0,36.0,1,2
1,F,18775.76,310.0,30.0,1,2
1,F,15086.39,50.0,34.0,1,2
1,F,17225.51,450.0,38.0,1,2
1,F,2940.39,2502.0,34.0,1,2
